GEMS Station Number,Date,Time,0.3,Parameter,0,,Value,Unit,Fair
DEU00096,2023-03-14,00:00,0.3,NO3N,0,,6.997754,mg/l,Fair
DEU00096,2023-03-14,00:00,0.3,O2-Dis,0,,7.8,mg/l,Fair
DEU00096,2023-05-08,00:00,0.3,NO3N,0,,6.77202,mg/l,Fair
DEU00096,2023-11-01,00:00,0.3,pH,0,,5.6,---,Fair
DEU00096,2023-03-14,00:00,0.3,TEMP,0,,10.7,°C,Fair
DEU00096,2023-03-14,00:00,0.3,EC,0,,284.0,µS/cm,Fair
DEU00096,2023-05-08,00:00,0.3,O2-Dis,0,,7.3,mg/l,Fair
DEU00096,2023-05-08,00:00,0.3,EC,0,,290.0,µS/cm,Fair
DEU00096,2023-11-01,00:00,0.3,O2-Dis,0,,7.6,mg/l,Fair
DEU00096,2023-03-14,00:00,0.3,pH,0,,5.6,---,Fair
DEU00096,2023-05-08,00:00,0.3,TEMP,0,,11.2,°C,Fair
DEU00096,2023-05-08,00:00,0.3,pH,0,,5.63,---,Fair
DEU00096,2023-11-01,00:00,0.3,NO3N,0,,6.997754,mg/l,Fair
DEU00096,2023-11-01,00:00,0.3,TEMP,0,,10.8,°C,Fair
DEU00096,2023-11-01,00:00,0.3,EC,0,,283.0,µS/cm,Fair
DEU00098,2023-10-24,00:00,0.3,TEMP,0,,13.0,°C,Fair
DEU00098,2023-10-24,00:00,0.3,EC,0,,733.0,µS/cm,Fair
DEU00098,2023-02-14,00:00,0.3,pH,0,,6.65,---,Fair
DEU00098,2023-07-24,00:00,0.3,TEMP,0,,11.6,°C,Fair
DEU00098,2023-07-24,00:00,0.3,NO3N,0,,0.4896396194,mg/l,Fair
DEU00098,2023-07-24,00:00,0.3,EC,0,,610.0,µS/cm,Fair
DEU00098,2023-02-14,00:00,0.3,NO3N,0,,1.548873841,mg/l,Fair
DEU00098,2023-02-14,00:00,0.3,TEMP,0,,9.9,°C,Fair
DEU00098,2023-02-14,00:00,0.3,EC,0,,749.0,µS/cm,Fair
DEU00098,2023-07-24,00:00,0.3,pH,0,,7.4,---,Fair
DEU00098,2023-10-24,00:00,0.3,pH,0,,6.74,---,Fair
DEU00113,2023-05-15,00:00,0.3,EC,0,,9.5,µS/cm,Fair
DEU00113,2023-03-16,00:00,0.3,pH,0,,5.2,---,Fair
DEU00113,2023-05-15,00:00,0.3,NO3N,0,,1.241537,mg/l,Fair
DEU00113,2023-03-16,00:00,0.3,NO3N,0,,1.354404,mg/l,Fair
DEU00113,2023-05-15,00:00,0.3,pH,0,,5.3,---,Fair
DEU00113,2023-03-16,00:00,0.3,EC,0,,9.0,µS/cm,Fair
DEU00113,2023-03-16,00:00,0.3,TEMP,0,,6.4,°C,Fair
DEU00113,2023-05-15,00:00,0.3,TEMP,0,,6.9,°C,Fair
DEU00114,2023-10-12,00:00,0.3,pH,0,,5.5,---,Fair
DEU00114,2023-03-29,00:00,0.3,TEMP,0,,10.8,°C,Fair
DEU00114,2023-10-12,00:00,0.3,EC,0,,38.1,µS/cm,Fair
DEU00114,2023-03-29,00:00,0.3,O2-Dis,0,,0.1,mg/l,Fair
DEU00114,2023-03-29,00:00,0.3,EC,0,,38.5,µS/cm,Fair
DEU00114,2023-10-12,00:00,0.3,O2-Dis,0,,0.1,mg/l,Fair
DEU00114,2023-03-29,00:00,0.3,NO3N,0,<,0.09932296,mg/l,Fair
DEU00114,2023-10-12,00:00,0.3,NO3N,0,<,0.09932296,mg/l,Fair
DEU00114,2023-10-12,00:00,0.3,TEMP,0,,10.9,°C,Fair
DEU00114,2023-03-29,00:00,0.3,pH,0,,5.7,---,Fair
DEU00115,2023-03-21,00:00,0.3,NO3N,0,,3.397522434,mg/l,Fair
DEU00115,2023-03-21,00:00,0.3,O2-Dis,0,,1.7,mg/l,Fair
DEU00115,2023-03-21,00:00,0.3,EC,0,,269.0,µS/cm,Fair
DEU00115,2023-03-21,00:00,0.3,TEMP,0,,10.2,°C,Fair
DEU00115,2023-03-21,00:00,0.3,pH,0,,5.2,---,Fair
DEU00116,2023-03-14,00:00,0.3,NO3N,0,,7.223488,mg/l,Fair
DEU00116,2023-03-14,00:00,0.3,EC,0,,72.0,µS/cm,Fair
DEU00116,2023-03-14,00:00,0.3,pH,0,,6.3,---,Fair
DEU00116,2023-03-14,00:00,0.3,TEMP,0,,11.2,°C,Fair
DEU00126,2023-03-20,00:00,0.3,EC,0,,268.0,µS/cm,Fair
DEU00126,2023-03-20,00:00,0.3,pH,0,,6.3,---,Fair
DEU00126,2023-03-20,00:00,0.3,TEMP,0,,11.9,°C,Fair
DEU00126,2023-03-20,00:00,0.3,NO3N,0,,17.832986,mg/l,Fair
DEU00126,2023-03-20,00:00,0.3,O2-Dis,0,,2.4,mg/l,Fair
DEU00127,2023-03-23,00:00,0.3,NO3N,0,,0.2934542,mg/l,Fair
DEU00127,2023-03-23,00:00,0.3,TEMP,0,,12.7,°C,Fair
DEU00127,2023-09-07,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00127,2023-05-24,00:00,0.3,pH,0,,6.3,---,Fair
DEU00127,2023-07-26,00:00,0.3,NO3N,0,<,0.00902936,mg/l,Fair
DEU00127,2023-07-26,00:00,0.3,pH,0,,6.4,---,Fair
DEU00127,2023-03-23,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00127,2023-03-23,00:00,0.3,EC,0,,785.0,µS/cm,Fair
DEU00127,2023-06-19,00:00,0.3,NO3N,0,,0.02483074,mg/l,Fair
DEU00127,2023-06-19,00:00,0.3,TEMP,0,,12.1,°C,Fair
DEU00127,2023-06-19,00:00,0.3,EC,0,,781.0,µS/cm,Fair
DEU00127,2023-09-07,00:00,0.3,TEMP,0,,12.8,°C,Fair
DEU00127,2023-09-07,00:00,0.3,EC,0,,815.0,µS/cm,Fair
DEU00127,2023-05-24,00:00,0.3,O2-Dis,0,,0.45,mg/l,Fair
DEU00127,2023-05-24,00:00,0.3,EC,0,,784.0,µS/cm,Fair
DEU00127,2023-06-19,00:00,0.3,O2-Dis,0,,0.39,mg/l,Fair
DEU00127,2023-06-19,00:00,0.3,pH,0,,6.3,---,Fair
DEU00127,2023-03-23,00:00,0.3,pH,0,,6.3,---,Fair
DEU00127,2023-05-24,00:00,0.3,NO3N,0,<,0.00902936,mg/l,Fair
DEU00127,2023-05-24,00:00,0.3,TEMP,0,,11.8,°C,Fair
DEU00127,2023-07-26,00:00,0.3,TEMP,0,,11.9,°C,Fair
DEU00127,2023-07-26,00:00,0.3,O2-Dis,0,,0.54,mg/l,Fair
DEU00127,2023-07-26,00:00,0.3,EC,0,,814.0,µS/cm,Fair
DEU00127,2023-09-07,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00127,2023-09-07,00:00,0.3,pH,0,,6.4,---,Fair
DEU00137,2023-03-30,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00137,2023-03-30,00:00,0.3,pH,0,,7.2,---,Fair
DEU00137,2023-10-04,00:00,0.3,NO3N,0,,0.0225734,mg/l,Fair
DEU00137,2023-10-04,00:00,0.3,TEMP,0,,11.1,°C,Fair
DEU00137,2023-10-04,00:00,0.3,EC,0,,601.0,µS/cm,Fair
DEU00137,2023-10-04,00:00,0.3,pH,0,,7.1,---,Fair
DEU00137,2023-03-30,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00137,2023-03-30,00:00,0.3,EC,0,,594.0,µS/cm,Fair
DEU00137,2023-10-04,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00137,2023-03-30,00:00,0.3,TEMP,0,,11.4,°C,Fair
DEU00139,2023-05-11,00:00,0.3,EC,0,,8.7,µS/cm,Fair
DEU00139,2023-05-11,00:00,0.3,TEMP,0,,7.4,°C,Fair
DEU00139,2023-05-11,00:00,0.3,O2-Dis,0,,9.4,mg/l,Fair
DEU00139,2023-05-11,00:00,0.3,pH,0,,6.3,---,Fair
DEU00139,2023-05-11,00:00,0.3,NO3N,0,,0.5869084,mg/l,Fair
DEU00160,2023-03-02,00:00,0.3,EC,0,,36.5,µS/cm,Fair
DEU00160,2023-03-02,00:00,0.3,pH,0,,7.7,---,Fair
DEU00160,2023-03-02,00:00,0.3,TEMP,0,,10.7,°C,Fair
DEU00160,2023-09-19,00:00,0.3,O2-Dis,0,,0.1,mg/l,Fair
DEU00160,2023-03-02,00:00,0.3,NO3N,0,<,0.09932296,mg/l,Fair
DEU00160,2023-09-19,00:00,0.3,TEMP,0,,10.9,°C,Fair
DEU00160,2023-03-02,00:00,0.3,O2-Dis,0,,0.1,mg/l,Fair
DEU00160,2023-09-19,00:00,0.3,NO3N,0,<,0.09932296,mg/l,Fair
DEU00160,2023-09-19,00:00,0.3,EC,0,,36.1,µS/cm,Fair
DEU00160,2023-09-19,00:00,0.3,pH,0,,7.8,---,Fair
DEU00163,2023-03-15,00:00,0.3,NO3N,0,,10.383764,mg/l,Fair
DEU00163,2023-03-15,00:00,0.3,pH,0,,7.1,---,Fair
DEU00163,2023-03-15,00:00,0.3,TEMP,0,,9.6,°C,Fair
DEU00163,2023-03-15,00:00,0.3,EC,0,,32.2,µS/cm,Fair
DEU00166,2023-12-06,00:00,0.3,TEMP,0,,12.8,°C,Fair
DEU00166,2023-03-09,00:00,0.3,EC,0,,109.0,µS/cm,Fair
DEU00166,2023-12-06,00:00,0.3,NO3N,0,,4.966148,mg/l,Fair
DEU00166,2023-12-06,00:00,0.3,EC,0,,105.0,µS/cm,Fair
DEU00166,2023-03-09,00:00,0.3,O2-Dis,0,,6.1,mg/l,Fair
DEU00166,2023-12-06,00:00,0.3,O2-Dis,0,,7.0,mg/l,Fair
DEU00166,2023-03-09,00:00,0.3,TEMP,0,,13.6,°C,Fair
DEU00166,2023-12-06,00:00,0.3,pH,0,,7.0,---,Fair
DEU00166,2023-03-09,00:00,0.3,NO3N,0,,5.417616,mg/l,Fair
DEU00166,2023-03-09,00:00,0.3,pH,0,,7.1,---,Fair
DEU00170,2023-03-28,00:00,0.3,EC,0,,700.0,µS/cm,Fair
DEU00170,2023-10-18,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00170,2023-04-12,00:00,0.3,pH,0,,7.1,---,Fair
DEU00170,2023-10-18,00:00,0.3,O2-Dis,0,,0.1,mg/l,Fair
DEU00170,2023-03-28,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00170,2023-03-28,00:00,0.3,pH,0,,6.6,---,Fair
DEU00170,2023-04-12,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00170,2023-10-18,00:00,0.3,EC,0,,676.0,µS/cm,Fair
DEU00170,2023-03-28,00:00,0.3,NO3N,0,<,0.0451468,mg/l,Fair
DEU00170,2023-03-28,00:00,0.3,TEMP,0,,10.8,°C,Fair
DEU00170,2023-04-12,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00170,2023-04-12,00:00,0.3,TEMP,0,,11.3,°C,Fair
DEU00170,2023-04-12,00:00,0.3,EC,0,,723.0,µS/cm,Fair
DEU00170,2023-10-18,00:00,0.3,TEMP,0,,11.6,°C,Fair
DEU00170,2023-10-18,00:00,0.3,pH,0,,7.1,---,Fair
DEU00172,2023-02-13,00:00,0.3,pH,0,,5.0,---,Fair
DEU00172,2023-02-13,00:00,0.3,NO3N,0,,15.7788066,mg/l,Fair
DEU00172,2023-02-13,00:00,0.3,O2-Dis,0,,0.3,mg/l,Fair
DEU00172,2023-02-13,00:00,0.3,EC,0,,304.0,µS/cm,Fair
DEU00172,2023-09-27,00:00,0.3,NO3N,0,,16.0948342,mg/l,Fair
DEU00172,2023-09-27,00:00,0.3,O2-Dis,0,,0.3,mg/l,Fair
DEU00172,2023-09-27,00:00,0.3,pH,0,,5.0,---,Fair
DEU00172,2023-02-13,00:00,0.3,TEMP,0,,9.3,°C,Fair
DEU00172,2023-09-27,00:00,0.3,TEMP,0,,9.7,°C,Fair
DEU00172,2023-09-27,00:00,0.3,EC,0,,301.0,µS/cm,Fair
DEU00189,2023-06-15,00:00,0.3,TEMP,0,,9.0,°C,Fair
DEU00189,2023-04-24,00:00,0.3,TEMP,0,,8.8,°C,Fair
DEU00189,2023-06-15,00:00,0.3,EC,0,,170.0,µS/cm,Fair
DEU00189,2023-04-24,00:00,0.3,EC,0,,172.0,µS/cm,Fair
DEU00189,2023-06-15,00:00,0.3,pH,0,,4.3,---,Fair
DEU00189,2023-04-24,00:00,0.3,NO3N,0,,5.0564416,mg/l,Fair
DEU00189,2023-04-24,00:00,0.3,pH,0,,4.46,---,Fair
DEU00189,2023-06-15,00:00,0.3,NO3N,0,,4.696621604,mg/l,Fair
DEU00191,2023-06-08,00:00,0.3,TEMP,0,,11.5,°C,Fair
DEU00191,2023-06-08,00:00,0.3,pH,0,,5.6,---,Fair
DEU00191,2023-06-08,00:00,0.3,NO3N,0,,12.641104,mg/l,Fair
DEU00191,2023-06-08,00:00,0.3,EC,0,,40.4,µS/cm,Fair
DEU00194,2023-04-04,00:00,0.3,NO3N,0,<,0.09932296,mg/l,Fair
DEU00194,2023-04-04,00:00,0.3,pH,0,,7.7,---,Fair
DEU00194,2023-04-04,00:00,0.3,TEMP,0,,10.1,°C,Fair
DEU00194,2023-04-04,00:00,0.3,EC,0,,252.0,µS/cm,Fair
DEU00194,2023-04-04,00:00,0.3,O2-Dis,0,<,0.3,mg/l,Fair
DEU00197,2023-03-10,00:00,0.3,NO3N,0,,0.51467352,mg/l,Fair
DEU00197,2023-04-03,00:00,0.3,NO3N,0,,0.5417616,mg/l,Fair
DEU00197,2023-09-21,00:00,0.3,pH,0,,7.15,---,Fair
DEU00197,2023-03-10,00:00,0.3,TEMP,0,,9.3,°C,Fair
DEU00197,2023-03-10,00:00,0.3,O2-Dis,0,,0.3,mg/l,Fair
DEU00197,2023-03-10,00:00,0.3,EC,0,,993.0,µS/cm,Fair
DEU00197,2023-03-10,00:00,0.3,pH,0,,6.91,---,Fair
DEU00197,2023-04-03,00:00,0.3,O2-Dis,0,,0.5,mg/l,Fair
DEU00197,2023-04-03,00:00,0.3,pH,0,,7.3,---,Fair
DEU00197,2023-09-21,00:00,0.3,NO3N,0,<,0.009932296,mg/l,Fair
DEU00197,2023-09-21,00:00,0.3,TEMP,0,,13.2,°C,Fair
DEU00197,2023-04-03,00:00,0.3,TEMP,0,,8.9,°C,Fair
DEU00197,2023-04-03,00:00,0.3,EC,0,,960.0,µS/cm,Fair
DEU00197,2023-09-21,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00197,2023-09-21,00:00,0.3,EC,0,,919.0,µS/cm,Fair
DEU00225,2023-07-04,00:00,0.3,O2-Dis,0,,4.3,mg/l,Fair
DEU00225,2023-04-05,00:00,0.3,O2-Dis,0,,5.8,mg/l,Fair
DEU00225,2023-04-05,00:00,0.3,pH,0,,7.73,---,Fair
DEU00225,2023-07-04,00:00,0.3,NO3N,0,,4.288946,mg/l,Fair
DEU00225,2023-07-04,00:00,0.3,EC,0,,468.0,µS/cm,Fair
DEU00225,2023-04-05,00:00,0.3,NO3N,0,,4.740414,mg/l,Fair
DEU00225,2023-04-05,00:00,0.3,TEMP,0,,10.1,°C,Fair
DEU00225,2023-04-05,00:00,0.3,EC,0,,444.0,µS/cm,Fair
DEU00225,2023-07-04,00:00,0.3,TEMP,0,,11.4,°C,Fair
DEU00225,2023-07-04,00:00,0.3,pH,0,,7.53,---,Fair
DEU00246,2023-03-29,00:00,0.3,TEMP,0,,10.3,°C,Fair
DEU00246,2023-04-04,00:00,0.3,TEMP,0,,10.0,°C,Fair
DEU00246,2023-04-04,00:00,0.3,NO3N,0,,0.0451468,mg/l,Fair
DEU00246,2023-03-29,00:00,0.3,pH,0,,7.5,---,Fair
DEU00246,2023-04-04,00:00,0.3,EC,0,,860.0,µS/cm,Fair
DEU00246,2023-03-29,00:00,0.3,O2-Dis,0,,0.2,mg/l,Fair
DEU00246,2023-04-04,00:00,0.3,O2-Dis,0,,0.4,mg/l,Fair
DEU00246,2023-09-27,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00246,2023-09-27,00:00,0.3,O2-Dis,0,,0.1,mg/l,Fair
DEU00246,2023-09-27,00:00,0.3,EC,0,,862.0,µS/cm,Fair
DEU00246,2023-03-29,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00246,2023-03-29,00:00,0.3,EC,0,,863.0,µS/cm,Fair
DEU00246,2023-04-04,00:00,0.3,pH,0,,7.4,---,Fair
DEU00246,2023-09-27,00:00,0.3,TEMP,0,,10.5,°C,Fair
DEU00246,2023-09-27,00:00,0.3,pH,0,,7.5,---,Fair
DEU00256,2023-06-22,00:00,0.3,O2-Dis,0,,0.09,mg/l,Fair
DEU00256,2023-06-22,00:00,0.3,EC,0,,1142.0,µS/cm,Fair
DEU00256,2023-06-22,00:00,0.3,pH,0,,7.53,---,Fair
DEU00256,2023-07-26,00:00,0.3,pH,0,,6.8,---,Fair
DEU00256,2023-10-16,00:00,0.3,TEMP,0,,10.5,°C,Fair
DEU00256,2023-10-16,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00256,2023-04-17,00:00,0.3,TEMP,0,,10.4,°C,Fair
DEU00256,2023-05-23,00:00,0.3,O2-Dis,0,,0.11,mg/l,Fair
DEU00256,2023-07-26,00:00,0.3,NO3N,0,,3.160276,mg/l,Fair
DEU00256,2023-07-26,00:00,0.3,TEMP,0,,10.1,°C,Fair
DEU00256,2023-07-26,00:00,0.3,EC,0,,1018.0,µS/cm,Fair
DEU00256,2023-10-16,00:00,0.3,pH,0,,7.2,---,Fair
DEU00256,2023-04-17,00:00,0.3,NO3N,0,,2.0090326,mg/l,Fair
DEU00256,2023-05-23,00:00,0.3,NO3N,0,,1.8961656,mg/l,Fair
DEU00256,2023-05-23,00:00,0.3,EC,0,,1108.0,µS/cm,Fair
DEU00256,2023-06-22,00:00,0.3,TEMP,0,,10.2,°C,Fair
DEU00256,2023-10-16,00:00,0.3,NO3N,0,,1.9413124,mg/l,Fair
DEU00256,2023-04-17,00:00,0.3,pH,0,,7.3,---,Fair
DEU00256,2023-05-23,00:00,0.3,TEMP,0,,10.1,°C,Fair
DEU00256,2023-05-23,00:00,0.3,pH,0,,7.29,---,Fair
DEU00256,2023-06-22,00:00,0.3,NO3N,0,,2.934542,mg/l,Fair
DEU00256,2023-04-17,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00256,2023-04-17,00:00,0.3,EC,0,,1200.0,µS/cm,Fair
DEU00256,2023-07-26,00:00,0.3,O2-Dis,0,,0.14,mg/l,Fair
DEU00256,2023-10-16,00:00,0.3,EC,0,,1109.0,µS/cm,Fair
DEU00310,2023-06-01,00:00,0.3,TEMP,0,,10.9,°C,Fair
DEU00310,2023-06-01,00:00,0.3,EC,0,,18.3,µS/cm,Fair
DEU00310,2023-06-01,00:00,0.3,NO3N,0,<,0.0451468,mg/l,Fair
DEU00310,2023-06-01,00:00,0.3,pH,0,,6.8,---,Fair
DEU00332,2023-07-31,00:00,0.3,TEMP,0,,11.4,°C,Fair
DEU00332,2023-07-31,00:00,0.3,O2-Dis,0,,0.2,mg/l,Fair
DEU00332,2023-07-31,00:00,0.3,NO3N,0,,0.21896198,mg/l,Fair
DEU00332,2023-07-31,00:00,0.3,EC,0,,145.0,µS/cm,Fair
DEU00332,2023-07-31,00:00,0.3,pH,0,,7.2,---,Fair
DEU00338,2023-03-16,00:00,0.3,EC,0,,1458.0,µS/cm,Fair
DEU00338,2023-03-31,00:00,0.3,EC,0,,1370.0,µS/cm,Fair
DEU00338,2023-09-21,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00338,2023-03-16,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00338,2023-03-16,00:00,0.3,TEMP,0,,9.6,°C,Fair
DEU00338,2023-03-31,00:00,0.3,NO3N,0,,0.1805872,mg/l,Fair
DEU00338,2023-09-21,00:00,0.3,TEMP,0,,12.9,°C,Fair
DEU00338,2023-03-31,00:00,0.3,pH,0,,7.0,---,Fair
DEU00338,2023-09-21,00:00,0.3,EC,0,,1342.0,µS/cm,Fair
DEU00338,2023-09-21,00:00,0.3,pH,0,,6.9,---,Fair
DEU00338,2023-03-16,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00338,2023-03-16,00:00,0.3,pH,0,,7.0,---,Fair
DEU00338,2023-03-31,00:00,0.3,TEMP,0,,9.3,°C,Fair
DEU00338,2023-03-31,00:00,0.3,O2-Dis,0,,0.5,mg/l,Fair
DEU00338,2023-09-21,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00340,2023-05-03,00:00,0.3,NO3N,0,,35.665972,mg/l,Fair
DEU00340,2023-05-03,00:00,0.3,O2-Dis,0,,9.2,mg/l,Fair
DEU00340,2023-05-03,00:00,0.3,pH,0,,6.0,---,Fair
DEU00340,2023-05-03,00:00,0.3,TEMP,0,,11.6,°C,Fair
DEU00340,2023-05-03,00:00,0.3,EC,0,,612.0,µS/cm,Fair
DEU00341,2023-03-08,00:00,0.3,EC,0,,92.8,µS/cm,Fair
DEU00341,2023-09-21,00:00,0.3,O2-Dis,0,,0.1,mg/l,Fair
DEU00341,2023-03-08,00:00,0.3,NO3N,0,<,0.09932296,mg/l,Fair
DEU00341,2023-09-21,00:00,0.3,TEMP,0,,11.9,°C,Fair
DEU00341,2023-09-21,00:00,0.3,pH,0,,7.5,---,Fair
DEU00341,2023-09-21,00:00,0.3,NO3N,0,<,0.09932296,mg/l,Fair
DEU00341,2023-03-08,00:00,0.3,TEMP,0,,11.6,°C,Fair
DEU00341,2023-03-08,00:00,0.3,pH,0,,7.2,---,Fair
DEU00341,2023-03-08,00:00,0.3,O2-Dis,0,,0.1,mg/l,Fair
DEU00341,2023-09-21,00:00,0.3,EC,0,,93.0,µS/cm,Fair
DEU00345,2023-05-23,00:00,0.3,NO3N,0,,0.10609498,mg/l,Fair
DEU00345,2023-06-22,00:00,0.3,NO3N,0,,0.1580138,mg/l,Fair
DEU00345,2023-07-26,00:00,0.3,NO3N,0,,0.03611744,mg/l,Fair
DEU00345,2023-07-26,00:00,0.3,TEMP,0,,9.8,°C,Fair
DEU00345,2023-11-22,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00345,2023-11-22,00:00,0.3,TEMP,0,,9.9,°C,Fair
DEU00345,2023-06-22,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00345,2023-06-22,00:00,0.3,EC,0,,779.0,µS/cm,Fair
DEU00345,2023-07-26,00:00,0.3,EC,0,,790.0,µS/cm,Fair
DEU00345,2023-07-26,00:00,0.3,pH,0,,6.96,---,Fair
DEU00345,2023-11-22,00:00,0.3,EC,0,,818.0,µS/cm,Fair
DEU00345,2023-05-23,00:00,0.3,TEMP,0,,9.8,°C,Fair
DEU00345,2023-05-23,00:00,0.3,O2-Dis,0,,0.14,mg/l,Fair
DEU00345,2023-06-22,00:00,0.3,pH,0,,7.6,---,Fair
DEU00345,2023-11-22,00:00,0.3,pH,0,,7.5,---,Fair
DEU00345,2023-05-23,00:00,0.3,pH,0,,7.7,---,Fair
DEU00345,2023-06-22,00:00,0.3,TEMP,0,,10.1,°C,Fair
DEU00345,2023-07-26,00:00,0.3,O2-Dis,0,,0.15,mg/l,Fair
DEU00345,2023-11-22,00:00,0.3,O2-Dis,0,,0.1,mg/l,Fair
DEU00345,2023-05-23,00:00,0.3,EC,0,,786.0,µS/cm,Fair
DEU00346,2023-03-22,00:00,0.3,EC,0,,415.0,µS/cm,Fair
DEU00346,2023-03-29,00:00,0.3,EC,0,,400.0,µS/cm,Fair
DEU00346,2023-03-22,00:00,0.3,pH,0,,7.4,---,Fair
DEU00346,2023-03-29,00:00,0.3,NO3N,0,<,0.0451468,mg/l,Fair
DEU00346,2023-03-29,00:00,0.3,pH,0,,7.3,---,Fair
DEU00346,2023-09-26,00:00,0.3,O2-Dis,0,<,0.1,mg/l,Fair
DEU00346,2023-03-29,00:00,0.3,TEMP,0,,10.0,°C,Fair
DEU00346,2023-09-26,00:00,0.3,NO3N,0,<,0.020090326,mg/l,Fair
DEU00346,2023-09-26,00:00,0.3,EC,0,,378.0,µS/cm,Fair
DEU00346,2023-09-26,00:00,0.3,pH,0,,7.3,---,Fair
